settlement_id,transaction_id,bank_name,account_last4,routing_number,swift_code,amount,currency,status,failure_reason,batch_id,settled_at,utr_number,reference_id,metadata
STL_34,TXN_10034,Axis Bank,8415,RTG123456,SWIFT123,9358.54,INR,settled,,BATCH_20260901,2026-09-02 14:08:00,UTR14988336,REF_34,{}
STL_35,TXN_10035,Axis Bank,5409,RTG123456,SWIFT123,2558.1,INR,settled,,BATCH_20260901,2026-09-02 11:10:00,UTR54533998,REF_35,{}
STL_36,TXN_10036,Axis Bank,7008,RTG123456,SWIFT123,2004.73,INR,settled,,BATCH_20260901,2026-09-02 14:12:00,UTR31251031,REF_36,{}
STL_37,TXN_10037,Axis Bank,5918,RTG123456,SWIFT123,21669.19,INR,settled,,BATCH_20260901,2026-09-02 14:14:00,UTR81245992,REF_37,{}
STL_38,TXN_10038,SBI,2264,RTG123456,SWIFT123,20366.65,INR,settled,,BATCH_20260901,2026-09-02 11:16:00,UTR53514858,REF_38,{}
STL_39,TXN_10039,SBI,5282,RTG123456,SWIFT123,4794.74,INR,settled,,BATCH_20260901,2026-09-02 12:18:00,UTR20979878,REF_39,{}
STL_40,TXN_10040,SBI,7158,RTG123456,SWIFT123,5755.57,INR,settled,,BATCH_20260901,2026-09-02 14:20:00,UTR73058601,REF_40,{}
STL_41,TXN_10041,SBI,9927,RTG123456,SWIFT123,1224.74,INR,settled,,BATCH_20260901,2026-09-02 11:22:00,UTR15125155,REF_41,{}
STL_42,TXN_10042,HDFC Bank,4740,RTG123456,SWIFT123,10792.2,INR,settled,,BATCH_20260901,2026-09-02 13:24:00,UTR68129030,REF_42,{}
STL_43,TXN_10043,Axis Bank,5876,RTG123456,SWIFT123,21036.47,INR,settled,,BATCH_20260901,2026-09-02 13:26:00,UTR38217016,REF_43,{}
STL_44,TXN_10044,ICICI Bank,6236,RTG123456,SWIFT123,10678.94,INR,settled,,BATCH_20260901,2026-09-02 12:28:00,UTR69495619,REF_44,{}
STL_45,TXN_10045,Axis Bank,4317,RTG123456,SWIFT123,2081.59,INR,settled,,BATCH_20260901,2026-09-02 10:30:00,UTR22458514,REF_45,{}
STL_46,TXN_10046,Axis Bank,1368,RTG123456,SWIFT123,12496.37,INR,settled,,BATCH_20260901,2026-09-02 14:32:00,UTR64879735,REF_46,{}
STL_47,TXN_10047,ICICI Bank,7436,RTG123456,SWIFT123,6372.04,INR,settled,,BATCH_20260901,2026-09-02 12:34:00,UTR30169939,REF_47,{}
STL_48,TXN_10048,Axis Bank,7198,RTG123456,SWIFT123,16996.5,INR,settled,,BATCH_20260901,2026-09-02 12:36:00,UTR87261311,REF_48,{}
STL_49,TXN_10049,ICICI Bank,6326,RTG123456,SWIFT123,7890.55,INR,settled,,BATCH_20260901,2026-09-02 14:38:00,UTR49211274,REF_49,{}
STL_50,TXN_10050,SBI,6243,RTG123456,SWIFT123,3383.93,INR,settled,,BATCH_20260901,2026-09-02 12:40:00,UTR77075750,REF_50,{}
STL_51,TXN_10051,ICICI Bank,8045,RTG123456,SWIFT123,8309.29,INR,settled,,BATCH_20260901,2026-09-02 12:42:00,UTR87438538,REF_51,{}
STL_52,TXN_10052,SBI,8543,RTG123456,SWIFT123,12008.93,INR,settled,,BATCH_20260901,2026-09-02 10:44:00,UTR60037081,REF_52,{}
STL_53,TXN_10053,Axis Bank,9499,RTG123456,SWIFT123,7220.91,INR,settled,,BATCH_20260901,2026-09-02 11:46:00,UTR14915995,REF_53,{}
STL_54,TXN_10054,ICICI Bank,4635,RTG123456,SWIFT123,22770.11,INR,settled,,BATCH_20260901,2026-09-02 13:48:00,UTR85395369,REF_54,{}
STL_55,TXN_10055,ICICI Bank,7497,RTG123456,SWIFT123,19811.94,INR,settled,,BATCH_20260901,2026-09-02 12:50:00,UTR34916457,REF_55,{}
STL_56,TXN_10056,Axis Bank,4477,RTG123456,SWIFT123,3253.24,INR,settled,,BATCH_20260901,2026-09-02 12:52:00,UTR62703129,REF_56,{}
STL_57,TXN_10057,ICICI Bank,5110,RTG123456,SWIFT123,1455.08,INR,settled,,BATCH_20260901,2026-09-02 12:54:00,UTR63777196,REF_57,{}
STL_58,TXN_10058,SBI,7924,RTG123456,SWIFT123,15793.18,INR,settled,,BATCH_20260901,2026-09-02 11:56:00,UTR66432093,REF_58,{}
STL_59,TXN_10059,SBI,8488,RTG123456,SWIFT123,5312.19,INR,settled,,BATCH_20260901,2026-09-02 14:58:00,UTR50087703,REF_59,{}
STL_60,TXN_10060,ICICI Bank,5010,RTG123456,SWIFT123,12360.49,INR,settled,,BATCH_20260901,2026-09-02 15:00:00,UTR30070972,REF_60,{}
STL_61,TXN_10061,Axis Bank,5275,RTG123456,SWIFT123,17695.09,INR,settled,,BATCH_20260901,2026-09-02 14:02:00,UTR48691969,REF_61,{}
STL_62,TXN_10062,ICICI Bank,8090,RTG123456,SWIFT123,5145.54,INR,settled,,BATCH_20260901,2026-09-02 14:04:00,UTR29942578,REF_62,{}
STL_63,TXN_10063,HDFC Bank,4146,RTG123456,SWIFT123,5229.57,INR,settled,,BATCH_20260901,2026-09-02 11:06:00,UTR93446375,REF_63,{}
STL_64,TXN_10064,HDFC Bank,6744,RTG123456,SWIFT123,24712.59,INR,settled,,BATCH_20260901,2026-09-02 11:08:00,UTR97828619,REF_64,{}
STL_65,TXN_10065,HDFC Bank,7150,RTG123456,SWIFT123,2535.75,INR,settled,,BATCH_20260901,2026-09-02 14:10:00,UTR64696563,REF_65,{}
STL_67,TXN_10067,SBI,7593,RTG123456,SWIFT123,10081.13,INR,settled,,BATCH_20260901,2026-09-02 12:14:00,UTR16022341,REF_67,{}
STL_68,TXN_10068,ICICI Bank,2761,RTG123456,SWIFT123,24249.19,INR,settled,,BATCH_20260901,2026-09-02 13:16:00,UTR18285779,REF_68,{}
STL_69,TXN_10069,ICICI Bank,9431,RTG123456,SWIFT123,17697.7,INR,settled,,BATCH_20260901,2026-09-02 13:18:00,UTR81552646,REF_69,{}
STL_70,TXN_10070,Axis Bank,5869,RTG123456,SWIFT123,19353.57,INR,settled,,BATCH_20260901,2026-09-02 11:20:00,UTR77983485,REF_70,{}
STL_71,TXN_10071,Axis Bank,9926,RTG123456,SWIFT123,7484.6,INR,settled,,BATCH_20260901,2026-09-02 13:22:00,UTR78697318,REF_71,{}
STL_73,TXN_10073,HDFC Bank,1065,RTG123456,SWIFT123,19599.5,INR,settled,,BATCH_20260901,2026-09-02 12:26:00,UTR13808296,REF_73,{}
STL_74,TXN_10074,HDFC Bank,9747,RTG123456,SWIFT123,1730.72,INR,settled,,BATCH_20260901,2026-09-02 12:28:00,UTR92039702,REF_74,{}
STL_75,TXN_10075,HDFC Bank,1098,RTG123456,SWIFT123,7754.57,INR,settled,,BATCH_20260901,2026-09-02 15:30:00,UTR84804671,REF_75,{}
STL_76,TXN_10076,HDFC Bank,9189,RTG123456,SWIFT123,1573.48,INR,settled,,BATCH_20260901,2026-09-02 11:32:00,UTR33455825,REF_76,{}
STL_77,TXN_10077,SBI,8424,RTG123456,SWIFT123,8152.49,INR,settled,,BATCH_20260901,2026-09-02 12:34:00,UTR13539637,REF_77,{}
STL_78,TXN_10078,HDFC Bank,8205,RTG123456,SWIFT123,16531.24,INR,settled,,BATCH_20260901,2026-09-02 15:36:00,UTR24048218,REF_78,{}
STL_79,TXN_10079,HDFC Bank,3659,RTG123456,SWIFT123,5555.69,INR,settled,,BATCH_20260901,2026-09-02 15:38:00,UTR65213230,REF_79,{}
STL_80,TXN_10080,Axis Bank,8615,RTG123456,SWIFT123,14309.8,INR,settled,,BATCH_20260901,2026-09-02 12:40:00,UTR28853684,REF_80,{}
STL_81,TXN_10081,SBI,5513,RTG123456,SWIFT123,9328.41,INR,settled,,BATCH_20260901,2026-09-02 15:42:00,UTR12558877,REF_81,{}
STL_83,TXN_10083,SBI,6451,RTG123456,SWIFT123,7384.42,INR,settled,,BATCH_20260901,2026-09-02 13:46:00,UTR96222938,REF_83,{}
STL_84,TXN_10084,SBI,9432,RTG123456,SWIFT123,4375.42,INR,settled,,BATCH_20260901,2026-09-02 14:48:00,UTR87043130,REF_84,{}
STL_85,TXN_10085,ICICI Bank,8580,RTG123456,SWIFT123,12932.05,INR,settled,,BATCH_20260901,2026-09-02 12:50:00,UTR76114657,REF_85,{}
STL_86,TXN_10086,ICICI Bank,7044,RTG123456,SWIFT123,1420.49,INR,settled,,BATCH_20260901,2026-09-02 15:52:00,UTR11993647,REF_86,{}
STL_87,TXN_10087,SBI,5102,RTG123456,SWIFT123,24217.7,INR,settled,,BATCH_20260901,2026-09-02 14:54:00,UTR89562974,REF_87,{}
STL_88,TXN_10088,HDFC Bank,6811,RTG123456,SWIFT123,23298.05,INR,settled,,BATCH_20260901,2026-09-02 12:56:00,UTR19764121,REF_88,{}
STL_89,TXN_10089,ICICI Bank,1422,RTG123456,SWIFT123,14110.19,INR,settled,,BATCH_20260901,2026-09-02 15:58:00,UTR87355549,REF_89,{}
STL_90,TXN_10090,HDFC Bank,4216,RTG123456,SWIFT123,5667.04,INR,settled,,BATCH_20260901,2026-09-02 14:00:00,UTR79359337,REF_90,{}
STL_91,TXN_10091,ICICI Bank,9825,RTG123456,SWIFT123,2919.04,INR,settled,,BATCH_20260901,2026-09-02 14:02:00,UTR12172250,REF_91,{}
STL_92,TXN_10092,ICICI Bank,7854,RTG123456,SWIFT123,9694.24,INR,settled,,BATCH_20260901,2026-09-02 13:04:00,UTR32791620,REF_92,{}
STL_93,TXN_10093,Axis Bank,5405,RTG123456,SWIFT123,2510.79,INR,settled,,BATCH_20260901,2026-09-02 15:06:00,UTR14010534,REF_93,{}
STL_94,TXN_10094,SBI,3553,RTG123456,SWIFT123,16095.91,INR,settled,,BATCH_20260901,2026-09-02 16:08:00,UTR34869403,REF_94,{}
STL_96,TXN_10096,HDFC Bank,3906,RTG123456,SWIFT123,18844.67,INR,settled,,BATCH_20260901,2026-09-02 13:12:00,UTR47703232,REF_96,{}
STL_97,TXN_10097,ICICI Bank,2154,RTG123456,SWIFT123,2142.84,INR,settled,,BATCH_20260901,2026-09-02 16:14:00,UTR78009362,REF_97,{}
STL_98,TXN_10098,ICICI Bank,5854,RTG123456,SWIFT123,10324.04,INR,settled,,BATCH_20260901,2026-09-02 13:16:00,UTR84247321,REF_98,{}
STL_99,TXN_10099,HDFC Bank,1549,RTG123456,SWIFT123,4165.36,INR,settled,,BATCH_20260901,2026-09-02 13:18:00,UTR25677307,REF_99,{}
STL_100,TXN_10100,SBI,2109,RTG123456,SWIFT123,16815.81,INR,settled,,BATCH_20260901,2026-09-02 15:20:00,UTR60400912,REF_100,{}
STL_101,TXN_10101,HDFC Bank,9027,RTG123456,SWIFT123,11105.21,INR,settled,,BATCH_20260901,2026-09-02 12:22:00,UTR73542734,REF_101,{}
STL_102,TXN_10102,SBI,1197,RTG123456,SWIFT123,14209.89,INR,settled,,BATCH_20260901,2026-09-02 12:24:00,UTR50581551,REF_102,{}
STL_103,TXN_10103,HDFC Bank,8627,RTG123456,SWIFT123,19507.71,INR,settled,,BATCH_20260901,2026-09-02 14:26:00,UTR40452913,REF_103,{}
STL_104,TXN_10104,SBI,1709,RTG123456,SWIFT123,6155.0,INR,settled,,BATCH_20260901,2026-09-02 12:28:00,UTR60883511,REF_104,{}
STL_106,TXN_10106,ICICI Bank,7040,RTG123456,SWIFT123,18852.13,INR,settled,,BATCH_20260901,2026-09-02 14:32:00,UTR50756633,REF_106,{}
STL_107,TXN_10107,ICICI Bank,7674,RTG123456,SWIFT123,11133.7,INR,settled,,BATCH_20260901,2026-09-02 15:34:00,UTR31586896,REF_107,{}
STL_108,TXN_10108,SBI,8546,RTG123456,SWIFT123,4992.95,INR,settled,,BATCH_20260901,2026-09-02 12:36:00,UTR66490630,REF_108,{}
STL_109,TXN_10109,Axis Bank,9317,RTG123456,SWIFT123,23550.8,INR,settled,,BATCH_20260901,2026-09-02 13:38:00,UTR16862036,REF_109,{}
STL_110,TXN_10110,ICICI Bank,9937,RTG123456,SWIFT123,20971.12,INR,settled,,BATCH_20260901,2026-09-02 13:40:00,UTR62488269,REF_110,{}
STL_111,TXN_10111,SBI,7743,RTG123456,SWIFT123,7897.99,INR,settled,,BATCH_20260901,2026-09-02 16:42:00,UTR36473766,REF_111,{}
STL_112,TXN_10112,ICICI Bank,1642,RTG123456,SWIFT123,3223.92,INR,settled,,BATCH_20260901,2026-09-02 16:44:00,UTR35343832,REF_112,{}
STL_113,TXN_10113,SBI,1515,RTG123456,SWIFT123,13530.66,INR,settled,,BATCH_20260901,2026-09-02 13:46:00,UTR36858512,REF_113,{}
STL_114,TXN_10114,SBI,2920,RTG123456,SWIFT123,3748.78,INR,settled,,BATCH_20260901,2026-09-02 12:48:00,UTR58736929,REF_114,{}
STL_115,TXN_10115,ICICI Bank,2962,RTG123456,SWIFT123,22233.01,INR,settled,,BATCH_20260901,2026-09-02 16:50:00,UTR63332271,REF_115,{}
STL_116,TXN_10116,Axis Bank,3914,RTG123456,SWIFT123,11479.11,INR,settled,,BATCH_20260901,2026-09-02 13:52:00,UTR35808908,REF_116,{}
STL_118,TXN_10118,ICICI Bank,8753,RTG123456,SWIFT123,6985.57,INR,settled,,BATCH_20260901,2026-09-02 12:56:00,UTR47561618,REF_118,{}
STL_120,TXN_10120,HDFC Bank,2303,RTG123456,SWIFT123,2488.09,INR,settled,,BATCH_20260901,2026-09-02 17:00:00,UTR65103295,REF_120,{}
STL_122,TXN_10122,ICICI Bank,1283,RTG123456,SWIFT123,12625.8,INR,settled,,BATCH_20260901,2026-09-02 17:04:00,UTR43379859,REF_122,{}
STL_123,TXN_10123,ICICI Bank,3366,RTG123456,SWIFT123,9678.24,INR,settled,,BATCH_20260901,2026-09-02 13:06:00,UTR12996108,REF_123,{}
STL_124,TXN_10124,Axis Bank,7429,RTG123456,SWIFT123,2725.53,INR,settled,,BATCH_20260901,2026-09-02 15:08:00,UTR40094961,REF_124,{}
STL_125,TXN_10125,Axis Bank,2827,RTG123456,SWIFT123,13743.94,INR,settled,,BATCH_20260901,2026-09-02 15:10:00,UTR22068727,REF_125,{}
STL_126,TXN_10126,ICICI Bank,3823,RTG123456,SWIFT123,6446.07,INR,pending,,BATCH_20260901,,,REF_126,{}
STL_127,TXN_10127,SBI,4155,RTG123456,SWIFT123,22953.54,INR,settled,,BATCH_20260901,2026-09-02 13:14:00,UTR88899692,REF_127,{}
STL_129,TXN_10129,HDFC Bank,9816,RTG123456,SWIFT123,14936.51,INR,settled,,BATCH_20260901,2026-09-02 13:18:00,UTR83822144,REF_129,{}
STL_130,TXN_10130,Axis Bank,1162,RTG123456,SWIFT123,6268.98,INR,settled,,BATCH_20260901,2026-09-02 14:20:00,UTR43233422,REF_130,{}
STL_131,TXN_10131,HDFC Bank,6068,RTG123456,SWIFT123,861.56,INR,settled,,BATCH_20260901,2026-09-02 17:22:00,UTR52732063,REF_131,{}
STL_132,TXN_10132,HDFC Bank,9510,RTG123456,SWIFT123,7242.48,INR,pending,,BATCH_20260901,,,REF_132,{}
STL_133,TXN_10133,Axis Bank,3042,RTG123456,SWIFT123,13946.96,INR,settled,,BATCH_20260901,2026-09-02 16:26:00,UTR56106324,REF_133,{}
STL_134,TXN_10134,SBI,5059,RTG123456,SWIFT123,913.02,INR,settled,,BATCH_20260901,2026-09-02 15:28:00,UTR42205641,REF_134,{}
STL_135,TXN_10135,Axis Bank,5738,RTG123456,SWIFT123,12912.1,INR,settled,,BATCH_20260901,2026-09-02 14:30:00,UTR24724546,REF_135,{}
STL_136,TXN_10136,Axis Bank,7568,RTG123456,SWIFT123,16058.27,INR,settled,,BATCH_20260901,2026-09-02 17:32:00,UTR39238316,REF_136,{}
STL_137,TXN_10137,SBI,5683,RTG123456,SWIFT123,18752.08,INR,settled,,BATCH_20260901,2026-09-02 14:34:00,UTR49968631,REF_137,{}
STL_138,TXN_10138,ICICI Bank,6343,RTG123456,SWIFT123,15403.03,INR,settled,,BATCH_20260901,2026-09-02 17:36:00,UTR98215210,REF_138,{}
STL_139,TXN_10139,SBI,5247,RTG123456,SWIFT123,5625.34,INR,settled,,BATCH_20260901,2026-09-02 16:38:00,UTR26033268,REF_139,{}
STL_140,TXN_10140,ICICI Bank,3787,RTG123456,SWIFT123,9621.37,INR,settled,,BATCH_20260901,2026-09-02 16:40:00,UTR25348158,REF_140,{}
STL_141,TXN_10141,ICICI Bank,6249,RTG123456,SWIFT123,15206.75,INR,settled,,BATCH_20260901,2026-09-02 16:42:00,UTR49488254,REF_141,{}
STL_142,TXN_10142,SBI,5466,RTG123456,SWIFT123,1834.66,INR,settled,,BATCH_20260901,2026-09-02 15:44:00,UTR37347903,REF_142,{}
STL_143,TXN_10143,HDFC Bank,8235,RTG123456,SWIFT123,20760.51,INR,settled,,BATCH_20260901,2026-09-02 17:46:00,UTR41031548,REF_143,{}
STL_144,TXN_10144,Axis Bank,8839,RTG123456,SWIFT123,15192.25,INR,settled,,BATCH_20260901,2026-09-02 16:48:00,UTR20094701,REF_144,{}
STL_145,TXN_10145,ICICI Bank,5835,RTG123456,SWIFT123,20198.96,INR,settled,,BATCH_20260901,2026-09-02 14:50:00,UTR73334693,REF_145,{}
STL_146,TXN_10146,HDFC Bank,7334,RTG123456,SWIFT123,4293.36,INR,settled,,BATCH_20260901,2026-09-02 14:52:00,UTR17169612,REF_146,{}
STL_148,TXN_10148,HDFC Bank,6709,RTG123456,SWIFT123,23380.2,INR,settled,,BATCH_20260901,2026-09-02 17:56:00,UTR24016880,REF_148,{}
STL_149,TXN_10149,SBI,5790,RTG123456,SWIFT123,17303.86,INR,settled,,BATCH_20260901,2026-09-02 14:58:00,UTR56258526,REF_149,{}
STL_150,TXN_10150,ICICI Bank,9076,RTG123456,SWIFT123,13074.3,INR,settled,,BATCH_20260901,2026-09-02 18:00:00,UTR35988221,REF_150,{}
STL_151,TXN_10151,HDFC Bank,8356,RTG123456,SWIFT123,12889.25,INR,settled,,BATCH_20260901,2026-09-02 18:02:00,UTR90113446,REF_151,{}
STL_152,TXN_10152,Axis Bank,9681,RTG123456,SWIFT123,17332.72,INR,settled,,BATCH_20260901,2026-09-02 15:04:00,UTR35906843,REF_152,{}
STL_153,TXN_10153,HDFC Bank,2851,RTG123456,SWIFT123,19243.75,INR,settled,,BATCH_20260901,2026-09-02 16:06:00,UTR54613667,REF_153,{}
STL_154,TXN_10154,HDFC Bank,6672,RTG123456,SWIFT123,14287.38,INR,settled,,BATCH_20260901,2026-09-02 18:08:00,UTR15668195,REF_154,{}
STL_155,TXN_10155,Axis Bank,1909,RTG123456,SWIFT123,11295.89,INR,settled,,BATCH_20260901,2026-09-02 16:10:00,UTR74561026,REF_155,{}
STL_156,TXN_10156,ICICI Bank,5995,RTG123456,SWIFT123,16640.97,INR,settled,,BATCH_20260901,2026-09-02 17:12:00,UTR57912254,REF_156,{}
STL_157,TXN_10157,Axis Bank,3715,RTG123456,SWIFT123,11049.99,INR,settled,,BATCH_20260901,2026-09-02 16:14:00,UTR48158804,REF_157,{}
STL_158,TXN_10158,ICICI Bank,1413,RTG123456,SWIFT123,23226.38,INR,pending,,BATCH_20260901,,,REF_158,{}
STL_159,TXN_10159,SBI,9933,RTG123456,SWIFT123,16306.12,INR,settled,,BATCH_20260901,2026-09-02 15:18:00,UTR23571311,REF_159,{}
STL_160,TXN_10160,HDFC Bank,4884,RTG123456,SWIFT123,1468.48,INR,settled,,BATCH_20260901,2026-09-02 15:20:00,UTR30427777,REF_160,{}
STL_161,TXN_10161,ICICI Bank,7996,RTG123456,SWIFT123,19587.47,INR,settled,,BATCH_20260901,2026-09-02 14:22:00,UTR89262847,REF_161,{}
STL_162,TXN_10162,HDFC Bank,7075,RTG123456,SWIFT123,12276.9,INR,settled,,BATCH_20260901,2026-09-02 14:24:00,UTR77662809,REF_162,{}
STL_163,TXN_10163,SBI,2695,RTG123456,SWIFT123,21504.13,INR,settled,,BATCH_20260901,2026-09-02 17:26:00,UTR99940070,REF_163,{}
STL_164,TXN_10164,ICICI Bank,3506,RTG123456,SWIFT123,9708.59,INR,settled,,BATCH_20260901,2026-09-02 16:28:00,UTR63458722,REF_164,{}
STL_166,TXN_10166,Axis Bank,1432,RTG123456,SWIFT123,11212.65,INR,settled,,BATCH_20260901,2026-09-02 16:32:00,UTR66432611,REF_166,{}
STL_167,TXN_10167,SBI,1285,RTG123456,SWIFT123,9956.27,INR,settled,,BATCH_20260901,2026-09-02 15:34:00,UTR94102265,REF_167,{}
STL_169,TXN_10169,ICICI Bank,1976,RTG123456,SWIFT123,14572.02,INR,settled,,BATCH_20260901,2026-09-02 15:38:00,UTR13815106,REF_169,{}
STL_170,TXN_10170,SBI,2047,RTG123456,SWIFT123,23889.6,INR,settled,,BATCH_20260901,2026-09-02 14:40:00,UTR71427533,REF_170,{}
STL_171,TXN_10171,SBI,9032,RTG123456,SWIFT123,23739.66,INR,settled,,BATCH_20260901,2026-09-02 15:42:00,UTR86115774,REF_171,{}
STL_172,TXN_10172,ICICI Bank,5773,RTG123456,SWIFT123,2222.81,INR,settled,,BATCH_20260901,2026-09-02 14:44:00,UTR83629534,REF_172,{}
STL_173,TXN_10173,HDFC Bank,1532,RTG123456,SWIFT123,17057.72,INR,settled,,BATCH_20260901,2026-09-02 14:46:00,UTR56233723,REF_173,{}
STL_174,TXN_10174,ICICI Bank,3536,RTG123456,SWIFT123,21906.64,INR,settled,,BATCH_20260901,2026-09-02 15:48:00,UTR75932238,REF_174,{}
STL_175,TXN_10175,ICICI Bank,9652,RTG123456,SWIFT123,11778.17,INR,settled,,BATCH_20260901,2026-09-02 18:50:00,UTR96573650,REF_175,{}
STL_176,TXN_10176,SBI,9774,RTG123456,SWIFT123,172.09,INR,settled,,BATCH_20260901,2026-09-02 14:52:00,UTR20749963,REF_176,{}
STL_177,TXN_10177,SBI,7325,RTG123456,SWIFT123,12541.13,INR,settled,,BATCH_20260901,2026-09-02 15:54:00,UTR16265347,REF_177,{}
STL_178,TXN_10178,ICICI Bank,1010,RTG123456,SWIFT123,16913.35,INR,settled,,BATCH_20260901,2026-09-02 17:56:00,UTR34192024,REF_178,{}
STL_179,TXN_10179,ICICI Bank,4650,RTG123456,SWIFT123,9835.03,INR,settled,,BATCH_20260901,2026-09-02 18:58:00,UTR21360883,REF_179,{}
STL_181,TXN_10181,Axis Bank,6992,RTG123456,SWIFT123,8735.8,INR,settled,,BATCH_20260901,2026-09-02 18:02:00,UTR39517002,REF_181,{}
STL_183,TXN_10183,ICICI Bank,7397,RTG123456,SWIFT123,17756.94,INR,pending,,BATCH_20260901,,,REF_183,{}
STL_184,TXN_10184,SBI,8670,RTG123456,SWIFT123,8170.58,INR,settled,,BATCH_20260901,2026-09-02 19:08:00,UTR22203837,REF_184,{}
